iter	Passed	Remaining
645	34833	2911
646	34884	2857
647	34937	2803
648	34985	2749
649	35039	2695
650	35100	2641
651	35150	2587
652	35199	2533
653	35246	2479
654	35305	2425
655	35357	2371
656	35409	2317
657	35462	2263
658	35512	2209
659	35564	2155
660	35611	2101
661	35666	2047
662	35716	1993
663	35770	1939
664	35821	1885
665	35876	1831
666	35928	1777
667	35980	1723
668	36034	1669
669	36084	1615
670	36139	1561
671	36193	1508
672	36243	1454
673	36310	1400
674	36360	1346
675	36409	1292
676	36464	1238
677	36515	1184
678	36567	1130
679	36618	1077
680	36668	1023
681	36719	969
682	36771	915
683	36826	861
684	36878	807
685	36930	753
686	36982	699
687	37033	645
688	37086	592
689	37138	538
690	37191	484
691	37239	430
692	37293	376
693	37345	322
694	37395	269
695	37445	215
696	37499	161
697	37550	107
698	37600	53
699	37657	0
